Movie,LeadStudio,Genre
Spider-Man 3,Sony,Action
Shrek the Third,Paramount,Animation
Transformers,Paramount,Action
Pirates of the Caribbean: At World's End,Disney,Action
Harry Potter and the Order of the Phoenix,Warner Bros,Adventure
I Am Legend,Warner Bros,Thriller
The Bourne Ultimatum,Universal,Thriller
National Treasure: Book of Secrets,Disney,Thriller
Alvin and the Chipmunks,Fox,Animation
300,Warner Bros,Action
Ratatouille,Disney,Animation
The Simpsons Movie,Fox,Comedy
Wild Hogs,Disney,Comedy
Knocked Up,Universal,Comedy
Juno,Fox,Comedy
Rush Hour 3,Warner Bros,Action
Live Free or Die Hard,Fox,Action
Fantastic Four: Rise of the Silver Surfer,Fox,Action
American Gangster,Universal,Thriller
Enchanted,Disney,Comedy
Bee Movie,Paramount,Animation
Superbad,Sony,Comedy
I Now Pronounce You Chuck and Larry,Universal,Comedy
Hairspray,Warner Bros,Musical
Blades of Glory,Paramount,Comedy
Ocean's 13,Warner Bros,Thriller
Ghost Rider,Sony,Action
Evan Almighty,Universal,Comedy
Meet the Robinsons,Disney,Animation
Norbit,Paramount,Comedy
The Bucket List,Warner Bros,Drama
The Game Plan,Disney,Comedy
Beowulf,Paramount,Action
Disturbia,Paramount,Thriller
No Country for Old Men,Paramount,Drama
The Golden Compass,Warner Bros,Action
Charlie Wilson's War,Universal,Biography
Saw IV,Independent,Horror
Stomp the Yard,Independent,Musical
Surf's Up,Sony,Animation
Halloween,Weinstein,Horror
Tyler Perry's Why Did I get Married,Independent,Romance
TMNT,,Action
P.S. I Love You,Independent,Romance
3:10 to Yuma,Lionsgate,Adventure
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros,Musical
Music and Lyrics,Warner Bros,Romance
Michael Clayton,Independent,Thriller
Premonition,Sony,Drama
The Kingdom,,Action
Shooter,Paramount,Action
License to Wed,Warner Bros,Comedy
No Reservations,,Comedy
Alien vs. Predator -- Requiem,Fox,Horror
There Will Be Blood,Paramount,Drama
Epic Movie,Independent,Comedy
Hitman,Fox,Action
30 Days of Night,Independent,Horror
Stardust,Paramount,Adventure
The Brave One,,Action
The Heartbreak Kid,Paramount,Comedy
Smokin' Aces,Universal,Action
Good Luck Chuck,Lionsgate,Comedy
Zodiac,Paramount,Thriller
Mr. Magorium's Wonder Emporium,Independent,Fantasy
We Own the Night,Sony,Drama
Mr. Brooks,MGM,Thriller
The Nanny Diaries,Weinstein,Comedy
Nancy Drew,Independent,Thriller
The Mist,Weinstein,Horror
The Reaping,,Horror
Grindhouse,Weinstein,Action
Sicko,Weinstein,Documentary
Across the Universe,Independent,Romance
The Hills Have Eyes 2,Independent,Horror
Vacancy,Sony,Comedy
Waitress,Independent,Romance
Into the Wild,Paramount,Drama
Walk Hard: The Dewey Cox Story,Sony,Comedy
Next,Paramount,Thriller
Hostel: Part II,Lionsgate,Horror
The Kite Runner,Paramount,Drama
Happily N'Ever After,Lionsgate,Animation
The Invasion,Warner Bros,Thriller
Lions for Lambs,Independent,Drama
Daddy Day Camp,Sony,Comedy
Shoot 'Em Up,Warner Bros,Action
The Darjeeling Limited,Fox,Drama
In the Land of Women,Warner Bros,Comedy
Dragon Wars (aka D-War),Mediaplex,Action
Pathfinder: Legend of the Ghost Warrior,,Action
The Dark Knight,Warner Bros,Thriller
Iron Man,Paramount,Action
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,Action
Hancock,Sony,Action
WALL-E,Disney,Animation
Kung Fu Panda,Paramount,Animation
Madagascar: Escape 2 Africa,Paramount,Animation
Twilight,Summit,Romance
Quantum of Solace,MGM,Action
Dr. Seuss' Horton Hears a Who!,Fox,Animation
Sex and the City,Warner Bros,Comedy
Gran Torino,Warner Bros,Drama
Mamma Mia!,Universal,Comedy
The Chronicles of Narnia: Prince Caspian,Disney,Action
Slumdog Millionaire,Independent,Crime
The Incredible Hulk,Universal,Action
Wanted,Universal,Action
Get Smart,Warner Bros,Action
Four Christmases,Warner Bros,Comedy
Tropic Thunder,Paramount,Comedy
Bedtime Stories,Disney,Comedy
Bolt,Disney,Animation
Marley and Me,Fox,Comedy
The Mummy: Tomb of the Dragon Emperor,Universal,Action
Journey to the Center of the Earth,Warner Bros,Action
Eagle Eye,Paramount,Action
Step Brothers,Sony,Comedy
You Don't Mess with the Zohan,Sony,Comedy
Yes Man,Warner Bros,Comedy
"10,000 B.C.",Warner Bros,Adventure
Beverly Hills Chihuahua,Disney,Adventure
High School Musical 3: Senior Year,Disney,Comedy
Pineapple Express,Sony,Action
Valkyrie,MGM,Thriller
21,Sony,Crime
What Happens in Vegas,Fox,Comedy
Jumper,Fox,Action
Cloverfield,Paramount,Action
The Curious Case of Benjamin Button,Warner Bros,Fantasy
27 Dresses,Fox,Comedy
Hellboy II: The Golden Army,Universal,Action
The Day the Earth Stood Still,Fox,Thriller
Vantage Point,Sony,
The Spiderwick Chronicles,Paramount,Fantasy
Fool's Gold,Warner Bros,Adventure
Role Models,Universal,Comedy
The Happening,Fox,Thriller
Forgetting Sarah Marshall,Independent,Comedy
Burn After Reading,Relativity Media,Comedy
Baby Mama,Independent,Comedy
Seven Pounds,Sony,Drama
Step Up 2: The Streets,Disney,Drama
Saw V,Independent,Crime
The Strangers,Relativity Media,Horror
The Forbidden Kingdom,Relativity Media,Action
The Tale of Despereaux,Universal,Animation
The House Bunny,Sony,Comedy
Nim's Island,Independent,Adventure
Australia,Fox,Adventure
Made of Honor,Sony,Comedy
College Road Trip,Buena Vista,Adventure
The Sisterhood of the Traveling Pants 2,Warner Bros,
Speed Racer,Warner Bros,Action
Prom Night,Independent,Horror
Rambo,Lionsgate,Action
"Welcome Home, Roscoe Jenkins",Universal,Comedy
Tyler Perry's Meet the Browns,Independent,Drama
Nights in Rodanthe,Warner Bros,Drama
Max Payne,Fox,Action
Righteous Kill,Overture,Crime
Lakeview Terrace,Sony,Crime
Body of Lies,Warner Bros,Action
Meet the Spartans,Independent,Comedy
Harold and Kumar Escape from Guantanamo Bay,Warner Bros,Adventure
First Sunday,Sony,Comedy
The Secret Life of Bees,Fox,Drama
Tyler Perry's The Family That Preys,Independent,Drama
Death Race,Universal,Action
Changeling,Independent,Drama
Star Wars: The Clone Wars,Independent,Animation
Semi-Pro,Warner Bros,Comedy
Fireproof,Independent,Drama
Drillbit Taylor,Paramount,Comedy
The Love Guru,Paramount,Comedy
"Definitely, Maybe",Universal,Comedy
Milk,Universal,Biography
Transporter 3,Independent,Action
Quarantine,Sony,Horror
Nick and Norah's Infinite Playlist,Sony,Comedy
The Eye,Lionsgate,Horror
Zack and Miri Make a Porno,Weinstein,Romance
Leatherheads,Universal,Comedy
Mirrors,Independent,Horror
Space Chimps,Independent,Animation
The Bank Job,Independent,Thriller
Untraceable,Independent,Thriller
The Women,Warner Bros,Drama
One Missed Call,Warner Bros,Horror
The Other Boleyn Girl,Independent,Drama
Street Kings,Fox,Action
Shutter,Fox,Horror
Superhero Movie,Weinstein,Comedy
W.,Lionsgate,Drama
Never Back Down,Summit,Action
Traitor,Liberty Starz,Thriller
Vicky Cristina Barcelona,Weinstein,Romance
Babylon A.D.,Fox,Action
The X-Files: I Want to Believe,Fox,Thriller
Mad Money,Independent,Comedy
Appaloosa,Warner Bros,Action
Igor,Independent,Animation
My Best Friend's Girl,Lionsgate,Comedy
Doubt,Independent,Drama
The Spirit,Lionsgate,Action
Kit Kittredge: An American Girl,Warner Bros,Drama
The Ruins,Paramount,Horror
88 Minutes,Sony,Drama
Swing Vote,Disney,Comedy
Pride & Glory,Warner Bros,Crime
Bangkok Dangerous,Lionsgate,Action
Disaster Movie,Lionsgate,Comedy
The Duchess,Paramount,Drama
The Haunting of Molly Hartley,Independent,Horror
Ghost Town,Paramount,Comedy
Religulous,Lionsgate,Documentary
Rachel Getting Married,Independent,Drama
The Pirates Who Don't Do Anything,Universal,
Under the Same Moon,Weinstein,
Miss Pettigrew Lives for a Day,Independent,Comedy
Soul Men,Weinstein,Comedy
Meet Dave,Fox,Adventure
The Longshots,Independent,Comedy
"Be Kind, Rewind",New Line,Comedy
Doomsday,Relativity Media,Action
Stop-Loss,Paramount,Drama
Penelope,Summit,Comedy
The Express,Independent,Biography
Smart People,Independent,Comedy
The Visitor,Independent,Drama
The Boy in the Striped Pyjamas,Independent,Drama
Sex Drive,Summit,Adventure
Cadillac Records,Sony,Biography
Punisher: War Zone,Lionsgate,Action
Miracle at St. Anna,Disney,Action
City of Ember,Independent,Adventure
In Bruges,Focus,Crime
Expelled: No Intelligence Allowed,,Documentary
Over Her Dead Body,New Line,Comedy
Avatar,Fox,Action
Transformers: Revenge of the Fallen,Paramount,Action
Harry Potter and the Half-Blood Prince,Warner Bros,Adventure
The Twilight Saga: New Moon,Summit,Drama
Up,Disney,Animation
The Hangover,Warner Bros,Comedy
Star Trek,Paramount,Action
The Blind Side,Warner Bros,Biography
Alvin and the Chipmunks: The Squeakquel,Independent,Animation
Sherlock Holmes,Warner Bros,Action
Monsters Vs. Aliens,Paramount,Animation
Ice Age: Dawn of the Dinosaurs,Fox,Animation
X-Men Origins: Wolverine,Fox,Action
Night at the Museum: Battle of the Smithsonian,Fox,Action
2012,Sony,Action
The Proposal,Disney,Comedy
Fast and Furious,Universal,Action
G.I. Joe: The Rise of Cobra,Paramount,Action
Paul Blart: Mall Cop,Sony,Action
Taken,Fox,Action
A Christmas Carol,Disney,Animation
Angels & Demons,Sony,Mystery
Terminator Salvation,Warner Bros,Action
Cloudy with a Chance of Meatballs,Sony,Animation
Inglourious Basterds,Universal,Adventure
G-Force,Disney,Action
District 9,Independent,Action
It's Complicated,Universal,Comedy
Couples Retreat,Universal,Comedy
Paranormal Activity,Independent,Horror
Watchmen,Warner Bros,Action
The Princess and the Frog,Disney,Animation
Public Enemies,Universal,Biography
Julie & Julia,Sony,Biography
